,,,,,,,,,,,,,,,,,,,,,,,,,Move samples,,,,,,,,,,
Activity,StartTime [ISO8601],Duration [s],Calories,Distance [m],HrAvg,Latitude,Longitude,SpeedAvg [km/h],TE,AscentAltitude,AscentTime,DescentAltitude,DescentTime,FlatTime,HighAltitude,LowAltitude,HrMin,HrPeak,SpeedMax,TemperatureAvg,TemperatureMax,TemperatureMin,SampleInterval,Device,LocalTime,Altitude,Distance,EnergyConsumption,HeartRate,SeaLevelPressure,Speed,Temperature,VerticalSpeed,,IBI
Running,2013-05-31 19:14:34,2164.1,507,4235,154,39.748607,-104.894063,7.049988,4.8,12,485,24,516,1163.1,1646,1626,88,173,3.4,27.4936,29.4,26.4,1,Suunto Ambit2,2013-05-31 19:14:34,1647,0,1.1,98,1015,0,29.3,0,,1179
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:14:34,1647,0,1.1,98,1015,0,29.3,0,,617
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:14:35,1647,0,1.1,97,1015,0,29.3,0,,629
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:14:36,1647,1,1.1,95,1015,0.6,29.3,0,,665
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:14:37,1647,2,1.1,94,1015,0.7,29.3,0,,659
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:14:38,1647,3,1.1,94,1015,0.8,29.3,0,,641
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:14:39,1647,4,1.1,92,1015,1.1,29.3,0,,643
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:14:40,1646,5,1.1,90,1015,1.1,29.4,0,,649
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:14:41,1646,5,1.1,88,1015,0.5,29.4,0,,673
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:14:42,1646,5,1.1,89,1015,0.3,29.4,0,,704
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:14:43,1646,5,1.1,91,1015,0,29.4,0,,690
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:14:44,1646,6,4.4,93,1015,0.7,29.4,0,,695
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:14:45,1646,6,4.4,95,1015,0.5,29.4,0,,671
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:14:46,1646,8,4.4,96,1015,1.3,29.4,0,,640
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:14:47,1646,10,4.4,99,1015,1.6,29.4,0,,639
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:14:48,1646,12,4.4,101,1015,1.6,29.4,0,,630
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:14:49,1646,13,4.4,103,1015,1.6,29.4,0,,617
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:14:50,1645,14,4.4,103,1015,1.5,29.4,0,,613
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:14:51,1645,15,4.4,103,1015,1.4,29.4,0,,613
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:14:52,1645,15,4.4,103,1015,0.6,29.4,0,,594
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:14:53,1645,15,4.4,103,1015,0.4,29.4,0,,581
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:14:54,1645,15,6.8,102,1015,0.3,29.4,0,,581
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:14:55,1645,16,6.8,101,1015,0.8,29.4,0,,582
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:14:56,1645,19,6.8,99,1015,1.7,29.4,0,,574
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:14:57,1645,21,6.8,98,1015,2,29.4,0,,573
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:14:58,1645,23,6.8,98,1015,1.9,29.4,0,,581
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:00,1645,24,6.8,97,1015,1.9,29.4,0,,582
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:00,1641,26,6.8,98,1015,1.7,29.4,0,,581
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:01,1641,27,6.8,100,1015,1.7,29.4,-0.1,,590
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:02,1641,29,6.8,101,1015,1.6,29.4,-0.1,,582
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:03,1641,30,6.8,101,1015,1.6,29.4,-0.1,,575
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:04,1641,31,7.6,101,1015,1.5,29.4,-0.1,,590
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:05,1639,31,7.6,100,1015,0.7,29.4,-0.1,,599
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:06,1639,32,7.6,100,1015,0.8,29.4,-0.1,,601
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:07,1639,33,7.6,102,1015,1.1,29.4,-0.1,,613
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:08,1639,34,7.6,104,1015,1.3,29.4,-0.1,,622
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:09,1639,34,7.6,106,1015,0.5,29.4,-0.1,,619
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:10,1640,36,7.6,109,1015,1.2,29.4,-0.1,,626
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:11,1640,37,7.6,110,1015,1.2,29.4,-0.2,,624
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:12,1640,39,7.6,110,1015,1.7,29.4,-0.2,,614
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:13,1640,41,7.6,110,1015,1.8,29.4,-0.2,,602
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:14,1640,43,8.8,110,1015,1.8,29.4,-0.2,,605
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:15,1640,45,8.8,107,1015,1.7,29.4,-0.2,,590
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:16,1640,47,8.8,107,1015,1.9,29.4,-0.3,,589
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:17,1640,50,8.8,109,1015,2,29.4,-0.3,,596
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:18,1640,53,8.8,111,1015,2.2,29.4,-0.3,,594
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:19,1640,56,8.8,113,1015,2.3,29.4,-0.3,,595
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:20,1640,59,8.8,115,1015,2.4,29.4,-0.3,,597
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:21,1640,61,8.8,117,1015,2.4,29.4,-0.3,,599
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:22,1640,65,8.8,119,1015,2.6,29.4,-0.3,,594
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:23,1640,67,8.8,120,1015,2.6,29.4,-0.3,,603
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:24,1640,70,10.2,124,1015,2.6,29.4,-0.3,,600
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:25,1640,73,10.2,122,1015,2.6,29.4,-0.3,,584
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:26,1640,76,10.2,125,1015,2.7,29.4,-0.2,,574
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:27,1640,78,10.2,127,1015,2.6,29.4,-0.2,,573
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:28,1640,81,10.2,129,1015,2.7,29.4,-0.2,,565
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:29,1640,84,10.2,130,1015,2.6,29.4,-0.2,,554
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:30,1640,86,10.2,132,1015,2.6,29.4,-0.2,,553
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:31,1640,89,10.2,134,1015,2.6,29.4,-0.2,,553
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:32,1640,91,10.2,135,1015,2.6,29.4,-0.2,,546
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:33,1640,94,10.2,135,1015,2.6,29.4,-0.2,,545
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:34,1640,96,12.4,136,1015,2.6,29.4,-0.2,,546
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:35,1640,99,12.4,136,1015,2.6,29.4,-0.2,,540
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:36,1640,102,12.4,137,1015,2.7,29.4,-0.2,,542
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:37,1640,104,12.4,137,1015,2.6,29.4,-0.2,,544
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:38,1640,107,12.4,138,1015,2.6,29.4,-0.2,,543
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:39,1640,109,12.4,138,1015,2.6,29.4,-0.2,,554
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:40,1640,112,12.4,138,1015,2.6,29.4,-0.2,,560
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:41,1640,115,12.4,138,1015,2.6,29.4,-0.1,,564
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:42,1640,117,12.4,138,1015,2.6,29.4,-0.1,,567
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:43,1640,120,12.4,139,1015,2.6,29.4,-0.1,,570
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:44,1640,122,13.8,139,1015,2.5,29.4,-0.1,,545
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:45,1640,124,13.8,139,1015,2.5,29.4,-0.1,,539
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:46,1640,127,13.8,139,1015,2.6,29.4,0,,539
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:47,1640,129,13.8,137,1015,2.5,29.4,0,,532
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:48,1640,132,13.8,137,1015,2.5,29.4,0,,522
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:49,1640,135,13.8,136,1015,2.6,29.4,0,,515
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:50,1638,139,13.8,136,1015,2.7,29.4,0,,518
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:51,1638,142,13.8,137,1015,2.8,29.4,0,,516
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:52,1638,146,13.8,137,1015,2.8,29.4,0,,507
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:53,1638,148,13.8,138,1015,2.8,29.4,0,,502
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:54,1638,151,14.1,138,1015,2.8,29.4,0,,495
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:55,1638,154,14.1,138,1015,2.8,29.4,0,,502
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:56,1638,157,14.1,139,1015,2.8,29.4,0,,494
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:57,1638,159,14.1,140,1015,2.8,29.4,0,,495
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:58,1638,162,14.1,141,1015,2.8,29.4,0,,487
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:15:59,1638,164,14.1,142,1015,2.8,29.4,0,,477
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:00,1638,166,14.1,142,1015,2.7,29.4,0,,476
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:01,1638,168,14.1,142,1015,2.7,29.4,-0.1,,429
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:02,1638,170,14.1,142,1015,2.6,29.4,-0.1,,501
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:03,1638,172,14.1,141,1015,2.5,29.4,-0.1,,470
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:04,1638,174,14.4,141,1015,2.5,29.4,-0.1,,470
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:05,1638,176,14.4,140,1015,2.4,29.4,-0.1,,459
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:06,1638,178,14.4,141,1015,2.3,29.4,-0.1,,467
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:07,1638,180,14.4,141,1015,2.3,29.4,-0.1,,467
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:08,1638,182,14.4,142,1015,2.3,29.4,-0.1,,460
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:09,1638,185,14.4,143,1015,2.4,29.4,-0.1,,455
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:10,1638,187,14.4,143,1015,2.4,29.4,-0.1,,453
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:11,1638,189,14.4,142,1015,2.3,29.4,-0.1,,448
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:12,1638,192,14.4,141,1015,2.4,29.4,-0.1,,449
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:13,1638,195,14.4,139,1015,2.4,29.4,-0.1,,447
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:14,1638,198,14.5,139,1015,2.4,29.4,-0.1,,444
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:15,1638,200,14.5,139,1015,2.5,29.4,-0.1,,442
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:16,1638,203,14.5,139,1015,2.5,29.4,-0.1,,445
