"","birth_year","wealth2","country","democracy","mean"
"1",1970,"Highest quintile","Benin","dictatorship",0.105263157894737
"2",1970,"Highest quintile","Bolivia","dictatorship",0.118811881188119
"3",1970,"Highest quintile","Brazil","dictatorship",0.05
"4",1970,"Highest quintile","Burkina Faso","dictatorship",0.177514792899408
"5",1970,"Highest quintile","Cambodia","dictatorship",0.037037037037037
"6",1970,"Highest quintile","Cameroon","dictatorship",0.0694444444444444
"7",1970,"Highest quintile","Central African Republic","dictatorship",0.0526315789473684
"8",1970,"Highest quintile","Chad","dictatorship",0.246575342465753
"9",1970,"Highest quintile","Colombia","democracy",0.0178571428571429
"10",1970,"Highest quintile","Cote d Ivoire","dictatorship",0.138888888888889
"11",1970,"Highest quintile","Dominican Republic","democracy",0.0408163265306122
"12",1970,"Highest quintile","Egypt","dictatorship",0.107954545454545
"13",1970,"Highest quintile","Ethiopia","dictatorship",0.144736842105263
"14",1970,"Highest quintile","Gabon","dictatorship",0.111111111111111
"15",1970,"Highest quintile","Ghana","democracy",0.175438596491228
"16",1970,"Highest quintile","Guatemala","democracy",0.148648648648649
"17",1970,"Highest quintile","Guinea","dictatorship",0.115384615384615
"18",1970,"Highest quintile","Haiti","dictatorship",0.25
"19",1970,"Highest quintile","India","democracy",0.0809638554216867
"20",1970,"Highest quintile","Indonesia","dictatorship",0.0779220779220779
"21",1970,"Highest quintile","Jordan","dictatorship",0.0425531914893617
"22",1970,"Highest quintile","Kazakhstan","dictatorship",0.05
"23",1970,"Highest quintile","Kenya","dictatorship",0.0853658536585366
"24",1970,"Highest quintile","Kyrgyzstan","dictatorship",0
"25",1970,"Highest quintile","Madagascar","dictatorship",0.0784313725490196
"26",1970,"Highest quintile","Malawi","dictatorship",0.15
"27",1970,"Highest quintile","Mali","dictatorship",0.181818181818182
"28",1970,"Highest quintile","Morocco","dictatorship",0.0917431192660551
"29",1970,"Highest quintile","Namibia","dictatorship",0.123287671232877
"30",1970,"Highest quintile","Nicaragua","dictatorship",0.106060606060606
"31",1970,"Highest quintile","Niger","dictatorship",0.214285714285714
"32",1970,"Highest quintile","Nigeria","dictatorship",0.124137931034483
"33",1970,"Highest quintile","Pakistan","dictatorship",0.107142857142857
"34",1970,"Highest quintile","Paraguay","dictatorship",0.0476190476190476
"35",1970,"Highest quintile","Peru","dictatorship",0.0445344129554656
"36",1970,"Highest quintile","Philippines","dictatorship",0.0666666666666667
"37",1970,"Highest quintile","Rwanda","dictatorship",0.0757575757575758
"38",1970,"Highest quintile","Senegal","dictatorship",0.0909090909090909
"39",1970,"Highest quintile","South Africa","dictatorship",0.0740740740740741
"40",1970,"Highest quintile","Togo","dictatorship",0
"41",1970,"Highest quintile","Turkey","democracy",0.134328358208955
"42",1970,"Highest quintile","Uganda","dictatorship",0.106060606060606
"43",1970,"Highest quintile","Uzbekistan","dictatorship",0
"44",1970,"Highest quintile","Zambia","dictatorship",0.0444444444444444
"45",1970,"Highest quintile","Zimbabwe","dictatorship",0.0923076923076923
"46",1970,"Lowest quintile","Armenia","dictatorship",0.25
"47",1970,"Lowest quintile","Benin","dictatorship",0.241379310344828
"48",1970,"Lowest quintile","Bolivia","dictatorship",0.163120567375887
"49",1970,"Lowest quintile","Brazil","dictatorship",0.117647058823529
"50",1970,"Lowest quintile","Burkina Faso","dictatorship",0.278481012658228
"51",1970,"Lowest quintile","Cambodia","dictatorship",0.25
"52",1970,"Lowest quintile","Cameroon","dictatorship",0.268817204301075
"53",1970,"Lowest quintile","Central African Republic","dictatorship",0.126984126984127
"54",1970,"Lowest quintile","Chad","dictatorship",0.103448275862069
"55",1970,"Lowest quintile","Colombia","democracy",0.0806451612903226
"56",1970,"Lowest quintile","Cote d Ivoire","dictatorship",0.23943661971831
"57",1970,"Lowest quintile","Dominican Republic","democracy",0.157142857142857
"58",1970,"Lowest quintile","Egypt","dictatorship",0.242424242424242
"59",1970,"Lowest quintile","Ethiopia","dictatorship",0.131474103585657
"60",1970,"Lowest quintile","Gabon","dictatorship",0.222222222222222
"61",1970,"Lowest quintile","Ghana","democracy",0.180555555555556
"62",1970,"Lowest quintile","Guatemala","democracy",0.236686390532544
"63",1970,"Lowest quintile","Guinea","dictatorship",0.394736842105263
"64",1970,"Lowest quintile","Haiti","dictatorship",0.208333333333333
"65",1970,"Lowest quintile","India","democracy",0.198983297022513
"66",1970,"Lowest quintile","Indonesia","dictatorship",0.149425287356322
